   RF01065           23S-methyl          Terminator2           0.25           53.30           3.28
   RF01412                 BsrG          Terminator2           0.33           31.60           5.82
   RF00434                  BTE               T-loop           0.29           22.40           2.23
   RF01695                   C4             Domain-V           0.02           65.40           0.11
   RF01695                   C4                 GNRA           0.27           1325.80           3.53
   RF01695                   C4                 UNCG           0.50           2725.70           7.08
   RF01521               CC1840                 GNRA           1.00           48.00           16.22
   RF01521               CC1840          Terminator1           0.67           21.70           6.80
   RF01521               CC1840                 UNCG           1.00           26.60           8.93
   RF01867               CC2171                 GNRA           0.91           189.40           17.79
   RF01867               CC2171             k-turn-1           0.36           42.60           3.52
   RF01867               CC2171          Terminator1           0.36           48.70           4.22
   RF01867               CC2171                 UNCG           0.55           58.30           5.62
   RF01527               CC3510                 GNRA           1.00           35.80           17.90
   RF01527               CC3510          Terminator2           1.00           20.40           10.20
   RF01529               CC3552                 GNRA           1.00           58.40           29.20
   RF01529               CC3552               U-turn           1.00           24.70           12.35
   RF01051           c-di-GMP-I         CsrA_binding           0.02           24.80           0.26
   RF01051           c-di-GMP-I                 GNRA           0.58           625.70           5.94
   RF01786          c-di-GMP-II                 GNRA           0.04           18.00           0.40
   RF01786          c-di-GMP-II             k-turn-2           0.07           60.30           1.47
   RF01786          c-di-GMP-II                 UNCG           0.04           17.80           0.33
   RF01786          c-di-GMP-II               U-turn           0.04           23.30           0.58
   RF01051           c-di-GMP-I             k-turn-1           0.02           18.90           0.23
   RF01051           c-di-GMP-I               T-loop           0.07           73.90           0.81
   RF01051           c-di-GMP-I                 UNCG           0.02           18.60           0.26
   RF02045          CDKN2B-AS_3          Terminator1           0.12           21.30           2.00
   RF02045          CDKN2B-AS_3          Terminator2           0.12           21.70           1.45
   RF01909            CDKN2B-AS                 GNRA           0.18           34.90           1.34
   RF01909            CDKN2B-AS               T-loop           0.14           32.70           1.12
   RF01610               ceN104                 GNRA           0.40           16.50           3.55
   RF01643                ceN56             k-turn-1           0.75           31.30           8.36
   RF01656      ceN72-3_ceN74-2                 GNRA           0.17           17.40           1.06
   RF01656      ceN72-3_ceN74-2                 UNCG           0.25           31.20           3.14
   RF01653                ceN80                 GNRA           0.40           21.60           3.63
   RF01696           Chlorobi-1                 GNRA           0.31           38.90           3.60
   RF01698        Chloroflexi-1          Terminator2           1.00           20.80           10.40
   RF00617                  cHP               T-loop           0.29           61.20           2.71
   RF00617                  cHP               U-turn           0.19           41.90           2.04
   RF01699      Clostridiales-1             Domain-V           0.09           150.90           0.82
   RF01699      Clostridiales-1                 GNRA           0.42           620.10           4.33
   RF01699      Clostridiales-1             k-turn-1           0.07           84.40           0.55
   RF01699      Clostridiales-1          Terminator1           0.10           198.50           2.09
   RF01699      Clostridiales-1          Terminator2           0.09           185.10           2.18
   RF01699      Clostridiales-1              UAA_GAN           0.12           293.90           1.33
   RF01699      Clostridiales-1                 UNCG           0.02           25.30           0.26
   RF01699      Clostridiales-1               U-turn           0.05           80.00           0.63
   RF02089            CLRN1-AS1                 GNRA           0.11           17.20           1.01
   RF02089            CLRN1-AS1               T-loop           0.11           19.40           0.94
   RF00174            Cobalamin         CsrA_binding           0.03           158.40           0.38
   RF00174            Cobalamin             Domain-V           0.02           82.40           0.22
   RF00174            Cobalamin                 GNRA           0.41           2185.10           4.97
   RF00174            Cobalamin             k-turn-1           0.13           570.50           1.37
   RF00174            Cobalamin               T-loop           0.22           983.10           2.41
   RF00174            Cobalamin                 UMAC           0.01           69.00           0.20
   RF00174            Cobalamin                 UNCG           0.13           681.90           1.48
   RF00174            Cobalamin               U-turn           0.06           280.10           0.60
   RF01700        Collinsella-1                 GNRA           0.40           22.60           3.86
   RF01700        Collinsella-1               T-loop           0.60           32.00           5.44
   RF00042                 CopA             Domain-V           0.10           30.60           1.24
   RF00042                 CopA          Terminator2           0.33           115.70           4.61
   RF00042                 CopA                 UNCG           0.07           18.30           0.71
   RF00622       CPEB3_ribozyme              pK-turn           0.33           51.10           4.17
   RF01734                 crcB                 GNRA           0.06           125.90           0.61
   RF01734                 crcB             k-turn-1           0.01           31.70           0.20
   RF01734                 crcB               T-loop           0.02           42.20           0.20
   RF01675                 CrcZ          CRC_binding           1.00           1824.30           95.68
   RF01675                 CrcZ                 GNRA           0.47           85.40           4.17
   RF01675                 CrcZ          Terminator1           0.32           81.80           4.07
   RF01675                 CrcZ          Terminator2           0.26           60.60           2.98
   RF01675                 CrcZ                 UNCG           0.84           321.30           16.44
   RF01675                 CrcZ               U-turn           0.89           191.90           10.13
   RF01330          CRISPR-DR16               U-turn           1.00           26.10           13.05
   RF01331          CRISPR-DR18                 GNRA           1.00           21.00           10.50
   RF01346          CRISPR-DR36                 GNRA           1.00           19.60           9.80
   RF01347          CRISPR-DR37                 GNRA           1.00           31.50           10.54
   RF01317           CRISPR-DR4               T-loop           0.16           47.60           1.70
   RF01372          CRISPR-DR59                 GNRA           1.00           15.20           7.60
   RF01318           CRISPR-DR5                 UNCG           0.30           30.10           3.91
   RF01322           CRISPR-DR9                 GNRA           0.57           48.40           6.97
   RF01322           CRISPR-DR9               T-loop           0.43           31.50           4.79
   RF01322           CRISPR-DR9                 UNCG           0.29           24.50           3.08
   RF01766                 cspA                 GNRA           0.33           32.00           2.17
   RF01766                 cspA           RBS_E_coli           0.25           51.60           6.25
   RF01766                 cspA         RBS_H_pylori           0.17           37.40           4.58
   RF01766                 cspA          Terminator1           0.75           153.70           14.78
   RF01766                 cspA          Terminator2           0.83           145.90           12.35
   RF01766                 cspA               T-loop           0.17           31.10           3.89
   RF01766                 cspA                 UMAC           0.17           28.20           2.35
   RF01766                 cspA                 UNCG           0.83           112.90           9.36
   RF00018                 CsrB         CsrA_binding           1.00           2137.00           87.35
   RF00018                 CsrB             Domain-V           0.43           102.80           3.80
   RF00018                 CsrB                 GNRA           0.61           160.10           7.35
   RF00018                 CsrB          Terminator1           0.83           277.40           11.53
   RF00018                 CsrB          Terminator2           0.91           406.50           16.83
   RF00018                 CsrB                 UNCG           0.61           117.90           4.40
   RF00018                 CsrB               U-turn           0.22           50.50           1.69
   RF00084                 CsrC         CsrA_binding           1.00           170.90           41.17
   RF00084                 CsrC                 GNRA           0.75           37.20           9.61
   RF00084                 CsrC          Terminator1           1.00           142.20           35.66
   RF00084                 CsrC          Terminator2           1.00           112.20           28.12
   RF00489           ctRNA_p42d                 GNRA           0.71           55.50           6.48
   RF00489           ctRNA_p42d          Terminator1           0.71           66.80           10.35
   RF00489           ctRNA_p42d          Terminator2           0.57           48.20           6.97
   RF00236           ctRNA_pGA1          Terminator1           0.40           63.40           7.16
   RF00236           ctRNA_pGA1          Terminator2           0.80           113.20           11.03
   RF00236           ctRNA_pGA1               T-loop           0.20           23.40           2.25
   RF00238         ctRNA_pND324          Terminator1           0.67           206.40           8.67
   RF00238         ctRNA_pND324          Terminator2           0.96           352.60           14.82
   RF00242          ctRNA_pT181          Terminator1           0.50           65.70           5.75
   RF00242          ctRNA_pT181          Terminator2           0.70           86.30           8.11
   RF01701              Cyano-1                 GNRA           0.11           177.60           1.05
   RF01701              Cyano-1          HuR_binding           0.02           39.50           0.11
   RF01701              Cyano-1          Terminator1           0.07           196.00           1.29
   RF01701              Cyano-1          Terminator2           0.10           234.30           1.68
   RF01701              Cyano-1               U-turn           0.02           34.50           0.16
   RF01702              Cyano-2                 GNRA           0.54           245.70           5.29
   RF01702              Cyano-2             k-turn-1           0.13           59.40           1.35
   RF01702              Cyano-2          Terminator1           0.20           128.50           3.69
   RF01702              Cyano-2          Terminator2           0.20           119.70           3.64
   RF01702              Cyano-2               T-loop           0.07           31.80           1.00
   RF01702              Cyano-2                 UNCG           0.11           49.30           0.98
   RF01702              Cyano-2               U-turn           0.09           44.40           1.44
   RF01851          cyano_tmRNA               T-loop           0.19           31.00           3.04
   RF01851          cyano_tmRNA                 UNCG           0.44           112.60           7.56
   RF00112            CyaR_RyeE                 GNRA           0.29           14.20           1.54
   RF00112            CyaR_RyeE          Terminator1           0.43           34.40           5.42
   RF00112            CyaR_RyeE          Terminator2           0.29           21.30           3.23
   RF02090           DAOA-AS1_1               T-loop           0.08           18.60           0.61
   RF01703        Dictyoglomi-1                 GNRA           0.75           55.10           14.08
   RF01703        Dictyoglomi-1               U-turn           0.50           27.30           7.03
   RF01703        Dictyoglomi-1         VTS1_binding           0.50           26.90           6.52
   RF01570    Dictyostelium_SRP           RBS_E_coli           1.00           39.40           19.70
   RF01570    Dictyostelium_SRP         SRP_S_domain           1.00           48.60           24.30
   RF02103              DLEU1_1                 GNRA           0.24           44.70           1.66
   RF02103              DLEU1_1               U-turn           0.14           35.40           1.72
   RF02104              DLEU1_2                 GNRA           0.43           46.90           2.75
   RF02105              DLEU2_1          Terminator1           0.09           21.60           0.96
   RF02109              DLEU2_5                 GNRA           0.29           57.40           1.70
   RF02110              DLEU2_6                 GNRA           0.07           16.00           0.48
   RF02110              DLEU2_6          Terminator1           0.10           31.20           0.96
   RF02113           DLG2-AS1_2                 GNRA           0.13           22.90           1.01
   RF01704   Downstream-peptide                 GNRA           0.16           408.50           2.15
   RF01704   Downstream-peptide             k-turn-1           0.03           64.10           0.33
   RF01704   Downstream-peptide               T-loop           0.02           48.20           0.22
   RF01704   Downstream-peptide                 UNCG           0.07           169.10           0.61
   RF00014                 DsrA                 GNRA           0.60           24.00           4.33
   RF01839             eeev_FSE                 GNRA           1.00           38.00           9.50
   RF01839             eeev_FSE                 UNCG           1.00           39.20           9.80
   RF01839             eeev_FSE               U-turn           1.00           42.00           10.50
   RF01958                 EGOT          CRC_binding           0.20           37.20           1.98
   RF01958                 EGOT          Terminator1           0.33           63.40           3.44
   RF01958                 EGOT          Terminator2           0.27           64.30           3.50
   RF01845               enod40             Domain-V           0.07           22.30           0.93
   RF01845               enod40          Terminator1           0.07           21.90           0.47
   RF00386         Entero_5_CRE               T-loop           0.16           96.60           1.18
   RF00386         Entero_5_CRE               U-turn           0.38           253.70           3.08
   RF00041          Entero_OriR                 GNRA           0.12           40.10           1.06
   RF01735                 epsC                 GNRA           0.14           24.80           0.94
   RF01888               Evf1_2          CRC_binding           0.33           73.90           3.68
   RF01888               Evf1_2           RBS_E_coli           0.50           132.70           6.85
   RF01888               Evf1_2         RBS_H_pylori           0.50           157.20           7.15
   RF01791                   F6                 GNRA           0.12           17.40           1.00
   RF02116              FAS-AS1                 GNRA           0.11           16.60           0.74
   RF01793                  ffh                 GNRA           0.08           55.30           0.46
   RF01793                  ffh             k-turn-1           0.06           46.40           0.55
   RF01793                  ffh                 UNCG           0.11           84.60           0.79
   RF00107                 FinP                 GNRA           0.50           26.30           4.70
   RF00107                 FinP               U-turn           0.83           65.80           10.81
   RF00185            Flavi_CRE                 GNRA           0.08           17.90           0.89
   RF00185            Flavi_CRE          Terminator2           0.12           36.60           1.59
   RF00525        Flavivirus_DB                 GNRA           0.29           105.50           1.98
   RF00525        Flavivirus_DB             k-turn-1           0.07           32.50           1.00
   RF01415      Flavivirus_SLIV                 UNCG           0.24           34.60           1.37
   RF01705              Flavo-1                 GNRA           0.04           75.50           0.48
   RF01705              Flavo-1          HuR_binding           0.08           204.30           1.03
   RF01705              Flavo-1             k-turn-1           0.01           30.70           0.15
   RF01705              Flavo-1           RBS_E_coli           0.02           60.20           0.28
   RF01705              Flavo-1         RBS_H_pylori           0.01           49.20           0.18
   RF01705              Flavo-1          Terminator1           0.10           294.00           1.68
   RF01705              Flavo-1          Terminator2           0.14           389.80           2.08
   RF01705              Flavo-1               T-loop           0.03           60.40           0.26
   RF01705              Flavo-1                 UNCG           0.03           62.20           0.31
   RF01705              Flavo-1         VTS1_binding           0.04           100.00           0.44
   RF01736      flg-Rhizobiales                 GNRA           0.92           173.50           14.08
   RF00050                  FMN                 GNRA           0.21           312.30           2.26
   RF00050                  FMN          HuR_binding           0.02           43.00           0.46
   RF00050                  FMN             k-turn-1           0.03           43.60           0.41
   RF00050                  FMN               T-loop           0.11           173.20           1.24
   RF00050                  FMN                 UNCG           0.09           122.40           0.90
   RF00050                  FMN               U-turn           0.10           154.60           1.13
   RF02118           FMR1-AS1_2                 GNRA           0.38           56.90           2.83
   RF02118           FMR1-AS1_2             k-turn-1           0.19           32.10           1.35
   RF02118           FMR1-AS1_2               U-turn           0.19           34.20           1.50
   RF01796                 frnS                 GNRA           0.83           118.00           9.21
   RF01796                 frnS          Terminator1           0.25           38.20           2.76
   RF01796                 frnS          Terminator2           0.58           86.60           7.12
   RF01796                 frnS               T-loop           0.33           40.10           2.82
   RF01796                 frnS               U-turn           0.25           34.00           2.57
   RF02273                 FsrA          Terminator1           1.00           22.80           11.40
   RF02121                FTX_3         CsrA_binding           0.36           55.30           3.38
   RF02123                FTX_4               T-loop           0.17           19.00           1.08
   RF02123                FTX_4               U-turn           0.17           21.20           1.20
   RF02122                FTX_5             k-turn-1           0.17           22.20           2.11
   RF01502            Fungi_SRP                 GNRA           0.28           138.90           2.50
   RF01502            Fungi_SRP             k-turn-1           0.17           78.10           1.41
   RF01502            Fungi_SRP         SRP_S_domain           0.75           1030.00           27.54
   RF01502            Fungi_SRP               T-loop           0.05           18.70           0.53
   RF01502            Fungi_SRP                 UNCG           0.28           169.10           3.10
   RF01846             Fungi_U3         CsrA_binding           0.06           34.20           0.86
   RF01846             Fungi_U3                 GNRA           0.32           218.70           4.74
   RF01846             Fungi_U3          HuR_binding           0.04           28.60           0.71
   RF01846             Fungi_U3                 UNCG           0.57           413.30           8.41
   RF01846             Fungi_U3          vapC_target           0.04           29.20           0.55
   RF01803                GABA3               U-turn           0.04           23.40           0.47
   RF00374       Gammaretro_CES             k-turn-1           0.33           32.10           3.76
   RF00374       Gammaretro_CES               U-turn           0.33           38.30           4.56
   RF00183           G-CSF_SLDE                 UNCG           0.12           29.40           1.67
   RF00022                 GcvB                 GNRA           0.42           98.00           6.27
   RF00022                 GcvB          HuR_binding           0.16           37.50           2.23
   RF00022                 GcvB          Terminator1           0.68           185.60           10.44
   RF00022                 GcvB          Terminator2           0.95           311.40           16.04
   RF00022                 GcvB               T-loop           0.11           20.20           1.22
   RF00022                 GcvB                 UNCG           0.47           97.20           6.23
   RF01807                 GIR1                 GNRA           0.17           17.70           2.38
   RF00234                 glmS                 GNRA           0.65           125.70           6.49
   RF00128            GlmY_tke1                 UNCG           0.18           20.20           2.82
   RF00083            GlmZ_SraJ                 GNRA           0.33           29.70           2.43
   RF00083            GlmZ_SraJ          Terminator1           0.75           121.90           9.82
   RF00083            GlmZ_SraJ          Terminator2           0.92           150.10           11.99
   RF00083            GlmZ_SraJ                 UNCG           0.33           47.30           3.74
   RF00083            GlmZ_SraJ               U-turn           0.17           24.80           1.50
   RF01739                 glnA                 GNRA           0.09           445.90           1.00
   RF01739                 glnA          HuR_binding           0.03           208.40           0.41
   RF01739                 glnA               T-loop           0.01           73.30           0.20
   RF01739                 glnA                 UNCG           0.02           85.40           0.15
   RF00504              Glycine                 GNRA           0.16           66.90           1.56
   RF00504              Glycine             k-turn-1           0.11           47.60           1.05
   RF00504              Glycine               T-loop           0.09           41.40           1.03
   RF02127           GNAS-AS1_1                 GNRA           0.17           23.20           1.18
   RF02127           GNAS-AS1_1                 UNCG           0.17           25.20           1.12
   RF02032                GOLLD                 GNRA           0.67           386.00           13.95
   RF02032                GOLLD               T-loop           0.18           76.10           3.35
   RF02032                GOLLD                 UNCG           0.15           57.60           2.16
   RF01073             GP_knot1             k-turn-1           0.43           30.50           4.50
   RF01769                 greA                 GNRA           0.11           15.00           0.95
   RF01769                 greA          Terminator2           0.16           32.20           1.34
   RF01998      group-II-D1D4-1         CsrA_binding           0.01           25.40           0.13
   RF01998      group-II-D1D4-1                 GNRA           0.51           1263.40           6.47
   RF01998      group-II-D1D4-1             k-turn-1           0.03           66.90           0.36
   RF01998      group-II-D1D4-1               T-loop           0.05           96.60           0.50
   RF01998      group-II-D1D4-1                 UNCG           0.01           22.80           0.12
   RF01998      group-II-D1D4-1               U-turn           0.04           75.70           0.36
   RF01999      group-II-D1D4-2                 GNRA           0.22           224.10           2.03
   RF01999      group-II-D1D4-2             k-turn-1           0.03           29.90           0.24
   RF01999      group-II-D1D4-2               T-loop           0.07           76.70           0.75
   RF01999      group-II-D1D4-2                 UNCG           0.06           53.70           0.65
   RF01999      group-II-D1D4-2               U-turn           0.04           47.30           0.50
   RF02001      group-II-D1D4-3          CRC_binding           0.01           69.80           0.13
   RF02001      group-II-D1D4-3                 GNRA           0.11           369.90           0.91
   RF02001      group-II-D1D4-3             k-turn-1           0.08           354.30           0.87
   RF02003      group-II-D1D4-4                 GNRA           0.51           517.50           6.02
   RF02003      group-II-D1D4-4             k-turn-1           0.08           68.30           0.69
   RF02003      group-II-D1D4-4               T-loop           0.15           135.60           1.70
   RF02003      group-II-D1D4-4                 UNCG           0.08           73.20           0.75
   RF02003      group-II-D1D4-4               U-turn           0.07           68.00           0.76
   RF02004      group-II-D1D4-5               C-loop           0.02           31.40           0.33
   RF02004      group-II-D1D4-5                 GNRA           0.42           576.80           4.89
   RF02004      group-II-D1D4-5             k-turn-1           0.11           117.70           0.83
   RF02004      group-II-D1D4-5               T-loop           0.09           103.20           0.84
   RF02004      group-II-D1D4-5                 UNCG           0.03           26.10           0.22
   RF02004      group-II-D1D4-5               U-turn           0.09           107.10           0.85
   RF02005      group-II-D1D4-6         CsrA_binding           0.02           35.60           0.24
   RF02005      group-II-D1D4-6                 GNRA           0.84           1606.80           10.62
   RF02005      group-II-D1D4-6             k-turn-1           0.18           291.00           1.94
   RF02005      group-II-D1D4-6          Terminator1           0.02           33.60           0.28
   RF02005      group-II-D1D4-6          Terminator2           0.02           40.20           0.33
   RF02005      group-II-D1D4-6               T-loop           0.01           19.50           0.12
   RF02005      group-II-D1D4-6                 UNCG           0.01           19.80           0.16
   RF02005      group-II-D1D4-6               U-turn           0.04           66.10           0.43
   RF02012      group-II-D1D4-7             Domain-V           0.01           21.50           0.11
   RF02012      group-II-D1D4-7                 GNRA           0.71           1819.60           10.52
   RF02012      group-II-D1D4-7             k-turn-1           0.03           73.30           0.43
   RF02012      group-II-D1D4-7               T-loop           0.02           27.70           0.11
   RF02012      group-II-D1D4-7                 UNCG           0.06           91.50           0.42
   RF01706                Gut-1                 UNCG           0.38           103.70           4.23
   RF01706                Gut-1               U-turn           0.12           35.70           1.39
   RF01740                 gyrA                 GNRA           0.17           15.20           1.40
   RF01740                 gyrA                 UNCG           0.17           18.80           2.01
   RF01973                H19_2               T-loop           0.46           55.20           4.62
   RF00008         Hammerhead_3                 GNRA           0.11           37.60           1.45
   RF02276        Hammerhead_II                 GNRA           0.48           116.20           4.52
   RF02276        Hammerhead_II               T-loop           0.38           84.70           3.38
   RF02276        Hammerhead_II                 UNCG           0.24           70.10           3.30
   RF02276        Hammerhead_II               U-turn           0.14           34.30           1.56
   RF00620           HCV_ARF_SL                 GNRA           0.31           78.40           2.12
   RF00620           HCV_ARF_SL            tandem-GA           0.11           62.80           1.70
   RF00469             HCV_SLIV          HuR_binding           0.03           25.70           0.31
   RF00469             HCV_SLIV                 UNCG           0.03           16.80           0.37
   RF00468            HCV_SLVII         CsrA_binding           0.07           91.50           0.69
